checkin_dt,checkin_mode,checkin_type,can_shop,contact_id,membership_type,membership_status,member_since,membership_start_date,hours_0,hours_1,hours_2
2020-06-03 15:30:07.085386,click,visitor,True,,,,,,,,
2020-06-03 15:30:12.014304,click,visitor,True,,,,,,,,
2020-06-03 15:30:15.659393,click,visitor,True,,,,,,,,
2020-06-03 15:30:25.904681,click,visitor,True,,,,,,,,
2020-06-03 15:39:42.894902,click,visitor,True,,,,,,,,
2020-06-03 15:40:29.401197,click,visitor,True,,,,,,,,
2020-06-03 15:40:39.125592,click,visitor,True,,,,,,,,
2020-06-03 15:46:13.344468,click,psfc,True,,,,,,,,
2020-06-03 15:51:29.401362,barcode,,True,2511.0,Carrot Plan,Current,2013-11-30,2013-11-30,3.08,0.0,0.0
2020-06-03 16:01:14.694674,barcode,,True,5824.0,,,,,,,
2020-06-03 16:01:20.500883,barcode,,True,5824.0,,,,,,,
2020-06-03 16:02:15.498348,click,visitor,True,,,,,,,,
2020-06-03 16:02:18.625031,click,visitor,True,,,,,,,,
2020-06-03 16:04:51.141889,email,,True,738.0,Avocado Plan,Current,2010-05-10,2010-05-10,2.5,2.42,5.42
2020-06-03 16:07:47.985670,email,,True,3884.0,Apple Plan,Current,2018-02-18,2019-06-10,2.04,1.01,1.11
2020-06-03 16:08:24.309502,email,,True,2950.0,Apple Plan,Current,2016-04-04,2016-04-04,0.0,0.0,0.0
2020-06-03 16:08:35.185814,email,,True,2950.0,Apple Plan,Current,2016-04-04,2016-04-04,0.0,0.0,0.0
2020-06-03 16:14:02.628220,email,,False,4393.0,,,,,,,
2020-06-03 16:18:18.936684,click,visitor,True,,,,,,,,
2020-06-03 16:26:41.450640,click,psfc,True,,,,,,,,
2020-06-03 16:27:12.917370,click,psfc,True,,,,,,,,
2020-06-03 16:27:41.647854,email,,True,13.0,Carrot Plan,Current,2014-08-18,2014-08-18,0.0,8.09,3.67
2020-06-03 16:28:12.320364,click,visitor,True,,,,,,,,
2020-06-03 16:33:36.856719,email,,True,1993.0,Lettuce Plan,Current,2012-09-15,2018-08-30,0.5800000000000001,4.83,5.33
2020-06-03 16:42:39.321939,email,,True,2543.0,Lettuce Plan,Current,2014-01-14,2014-01-14,5.26,20.85,16.990000000000002
2020-06-03 16:45:08.998866,email,,True,2611.0,Lettuce Plan,Current,2014-05-02,2014-05-02,0.0,1.6600000000000001,2.58
2020-06-03 16:47:48.414049,click,psfc,True,,,,,,,,
2020-06-03 16:51:30.925174,click,psfc,True,,,,,,,,
2020-06-03 16:52:18.790933,click,psfc,True,,,,,,,,
2020-06-03 16:52:23.451332,click,psfc,True,,,,,,,,
2020-06-03 16:52:41.713805,click,psfc,True,,,,,,,,
2020-06-03 17:03:58.242172,email,,True,5507.0,Zucchini Plan,Current,2020-01-20,2020-01-20,2.67,2.58,2.5
2020-06-03 17:09:06.272961,email,,True,1505.0,Carrot Plan,Current,2012-02-08,2012-02-08,2.67,9.67,2.67
2020-06-03 17:14:08.551611,click,visitor,True,,,,,,,,
2020-06-03 17:18:29.167445,click,visitor,True,,,,,,,,
